Year,Month,Region,Org Code,Org Name,A0,A1,A2
2021,10,Y59,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,105369,89087,4175112
2021,10,Y58,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,133122,111104,14803733
2021,10,Y60,RYA,WEST MIDLANDS AMBULANCE SERVICE UNIVERSITY NHS FOUNDATION TRUST,159014,128039,766964
2021,10,Y63,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,108746,75480,12527193
2021,11,Eng,Eng,England,1153651,879192,35634260
2021,11,North East and Yorkshire,Y63,North East and Yorkshire,157167,113693,6773006
2021,11,North West,Y62,North West,147788,121328,1875805
2021,11,Midlands,Y60,Midlands,244377,194513,3323678
2021,11,East of England,Y61,East of England,114300,83382,9275891
2021,11,London,Y56,London,187769,142699,2009279
2021,11,South East,Y59,South East,185068,127399,3896313
2021,11,South West,Y58,South West,117182,96178,8480288
2021,11,Y60,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,105089,85424,2715917
2021,11,Y61,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,114300,83382,9275891
2021,11,Y59,R1F,ISLE OF WIGHT NHS TRUST,3121,1793,36216
2021,11,Y56,RRU,LONDON AMBULANCE SERVICE NHS TRUST,187769,142699,2009279
2021,11,Y63,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,50188,41496,1887247
2021,11,Y62,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,147788,121328,1875805
2021,11,Y59,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,89019,49484,2026124
2021,11,Y59,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,92928,76122,1833973
2021,11,Y58,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,117182,96178,8480288
2021,11,Y60,RYA,WEST MIDLANDS AMBULANCE SERVICE UNIVERSITY NHS FOUNDATION TRUST,139288,109089,607761
2021,11,Y63,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,106979,72197,4885759
