Year,Month,Region,Org Code,Org Name,A0,A1,A2,A3,A4,A114,A5,A6,A111,A112,A113,A7,A8,A9,A10,A11,A12,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A17,A18,A19,A20,A21,A22,A23,A53,A54,A55,A56,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A74,A82,A83,A84,A78,A94,A95,A96,A115,A116,A117,A118,A75,A85,A86,A87,A79,A97,A98,A99,A119,A120,A121,A122,A76,A88,A89,A90,A80,A100,A101,A102,A77,A91,A92,A93,A81,A103,A104,A105,A49,A50,A51,A52,A13,A14,A15,A16,A106,A107,A108,A109,A110,A57,A58,A59,A60,A61,A62,A63,A64,A65,A66,A67,A68,A69,A70,A71,A72,A73
2018,8,Y62,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,131596,102646,1357953,13,1,.,82,143,.,.,.,90491,8372,6072,46630,21981,3705,3956449,473,799,3884158,640,1115,60892287,1306,2784,79281258,3607,8491,19804956,5345,10705,5215,401,2840,5709,332,1642,0,57476,5736,22064,85276,16338,13418,11696,9752,58951,49957,30103,23485,4717,3960,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4630,205473,44,95,.,.,.,.,.,210,1614,1085,83,839,8192155,5076,10543,6062527,5588,11647,648267,7810,16431,6447916,7685,17708
2018,8,Y59,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,63345,39903,334263,8,3,.,43,103,.,.,.,44852,2408,1475,21049,14299,1103,1012138,420,786,908782,616,1178,19422335,923,1830,40839355,2856,6804,4492954,4073,9660,2488,20,119,346,198,2151,0,24573,2794,14997,42364,4811,3752,2997,2388,29060,24212,20616,16031,1607,1220,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,165,54782,332,537,1904,76572,40,84,.,.,.,.,.,1,1877,1255,0,372,4881538,2601,4528,6235354,4968,9298,.,.,.,2918130,7844,16363
2018,8,Y59,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,77949,63393,1023924,16,3,.,101,193,.,.,.,58502,3313,2118,27867,20797,963,1501203,453,855,1329026,627,1225,30385873,1090,2098,99462280,4783,11329,5498678,5710,13016,3432,135,441,677,306,2550,607,35408,524,19138,55070,7595,5551,4799,3582,39537,31054,35414,21994,1768,1006,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,301,95907,319,558,2561,138040,54,91,.,.,.,.,.,1,217,1604,0,308,1196799,5515,10970,10795445,6730,14289,.,.,.,3035205,9855,21651
2018,8,Y58,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,104355,79201,389931,5,2,.,20,60,.,.,.,71492,4555,2736,38294,18172,675,1920400,422,780,1829255,669,1287,61576000,1608,3418,77691401,4275,9852,6402738,9486,21907,3721,288,1321,4514,406,1706,25,37583,3551,26637,67771,10276,8058,6249,4988,52735,44561,25741,19437,946,697,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,418,188772,452,605,2646,121764,46,83,.,.,.,.,.,151,1027,955,15,1064,6735521,6558,13992,7162403,7500,15276,121397,8093,14320,9914235,9318,19998
2018,8,Y60,RYA,WEST MIDLANDS AMBULANCE SERVICE UNIVERSITY NHS FOUNDATION TRUST,104041,75400,262382,3,1,.,19,43,.,.,.,84373,5209,3202,39483,31151,1635,2083933,400,683,1529714,478,847,27707156,702,1277,55243271,1773,3874,4491948,2747,6158,2523,5,10,0,208,2300,1993,48157,3106,30587,81850,9993,7338,6096,4580,50249,41723,53130,32673,3813,1734,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,213,53134,249,446,3440,99137,29,55,.,.,.,.,.,229,0,2659,0,1485,.,.,.,12319013,4633,11054,.,.,.,8750483,5893,14264
2018,8,Y63,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,81465,59169,103759,2,1,.,1,34,.,.,.,64245,5071,3576,35514,12189,986,2146557,423,725,2338712,654,1168,41397106,1166,2387,33641515,2760,6402,4060323,4118,9948,4250,424,801,3172,459,2566,2301,38405,6256,15334,59995,11716,8748,8213,6239,53503,41814,26358,16906,1846,1119,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3093,108070,35,58,.,.,.,.,.,79,3231,183,42,2700,13959051,4320,9397,898651,4911,9993,238182,5671,11035,22616080,8376,19376
2018,9,Eng,Eng,England,943655,710840,5655181,8,1,.,45,99,.,.,.,665369,52568,35591,356904,167708,12421,22679273,431,754,24278800,682,1289,462617916,1296,2655,622882666,3714,8713,65146894,5245,12106,37970,3239,10299,24642,3035,21397,6802,395522,35890,195987,627399,114920,88128,78323,61077,496292,399299,271464,182568,20766,13418,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1839,578327,314,542,33911,1499319,44,85,.,.,.,.,.,818,8773,10797,221,10544,45036227,5134,10755,73844155,6839,14330,1950469,8826,18406,96737273,9175,20207
2018,9,North East and Yorkshire,Y63,North East and Yorkshire,124274,89377,251540,3,1,.,7,39,.,.,.,96329,7411,5088,53874,19923,1484,3095833,418,713,3005337,591,1057,65617562,1218,2514,72445107,3636,8692,6338217,4271,10580,5730,464,1239,6801,539,3488,2308,58055,9784,22760,90599,16185,12457,11121,8681,78596,62979,37652,23987,2929,1809,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,73,32677,448,842,4516,147768,33,57,.,.,.,.,.,115,2481,2277,49,2887,11391899,4592,10037,14748153,6477,13297,263753,5383,12115,26384953,9139,20926
2018,9,North West,Y62,North West,129192,100544,1541202,15,1,.,90,143,.,.,.,89571,8005,5774,47386,21617,3346,3805774,475,797,3692128,639,1102,64707314,1366,2912,88561278,4097,9618,18622938,5566,11592,5063,410,2653,5572,313,1687,0,56672,5727,22109,84508,15903,12819,11370,9305,59944,50588,29658,22950,4344,3585,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4632,200695,43,94,.,.,.,.,.,227,1460,927,65,751,8026923,5498,11014,5920105,6386,12648,496757,7642,14809,6864621,9141,19860
2018,9,Midlands,Y60,Midlands,190280,146142,595386,4,1,.,20,52,.,.,.,142414,11195,7148,74816,42147,1675,4780876,427,753,5572480,780,1743,95646702,1278,2578,115028223,2729,6319,5067998,3026,7677,6417,1592,789,6,945,3091,1773,83619,5640,46738,135997,21229,16043,13812,10584,95755,79641,69449,44039,4051,1744,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,470,124462,265,478,6261,211901,34,65,.,.,.,.,.,191,316,2438,4,3215,1711986,5418,11782,14260034,5849,13382,22322,5581,9782,25355564,7887,18203
2018,9,East of England,Y61,East of England,101337,65334,629620,10,1,.,59,123,.,.,.,66832,6255,4240,37759,12320,2242,2987260,478,861,3243826,765,1384,58208530,1542,3168,63916400,5188,12640,13264877,5917,14858,4384,99,2912,495,47,1326,2114,39540,1988,20920,62448,14595,10513,9876,7285,59143,43433,23615,13402,3981,2420,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,445,123963,279,465,5955,241274,41,76,.,.,.,.,.,37,813,611,52,985,7812121,9609,20987,6485216,10614,24069,753029,14481,31323,13432721,13637,30272
2018,9,London,Y56,London,153817,127693,1042310,8,0,.,58,135,.,.,.,97012,9408,6973,55125,19432,1063,3540767,376,628,4710590,676,1181,63232039,1147,2336,61023168,3140,7663,5276990,4964,11297,6621,217,834,6255,192,5378,0,60195,6162,24034,90391,24659,19041,18146,14275,81113,62448,30848,21908,1482,1115,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5354,364213,68,137,.,.,.,.,.,8,649,1217,39,1167,3590904,5533,11657,8933024,7340,14783,328893,8433,16557,10370403,8886,16175
2018,9,South East,Y59,South East,143351,104259,1282604,12,3,.,69,151,.,.,.,103752,5941,3682,50219,34807,1973,2682465,452,832,2327606,632,1195,54095571,1077,2073,146326810,4204,9658,10746835,5447,12326,5952,101,575,974,515,4761,585,59877,3345,34578,97800,12578,9584,7900,6112,70005,56396,55262,37510,3071,2073,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,474,161511,341,580,4579,211701,46,83,.,.,.,.,.,103,2094,2604,0,609,6299893,3009,5606,17655068,6780,13370,.,.,.,5832228,9577,20189
2018,9,South West,Y58,South West,101404,77491,312519,4,2,.,12,46,.,.,.,69459,4353,2686,37725,17462,638,1786298,410,761,1726833,643,1185,61110198,1620,3416,75581680,4328,9909,5829039,9136,20979,3803,356,1297,4539,484,1666,22,37564,3244,24848,65656,9771,7671,6098,4835,51736,43814,24980,18772,908,672,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,377,135714,360,606,2614,121767,47,85,.,.,.,.,.,137,960,723,12,930,6202501,6461,13831,5842555,8081,17408,85715,7143,16493,8496783,9136,19594
2018,9,Y60,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,83922,68553,296429,4,2,.,18,62,.,.,.,57669,5834,3768,33670,11550,175,2602558,446,800,3989218,1059,2548,66093905,1963,4128,54611409,4728,11505,568366,3248,8870,3913,1587,774,6,815,737,3,35251,2517,15988,53756,11076,8567,7485,5851,43543,36287,15126,12068,215,170,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,279,74934,269,484,2794,114112,41,78,.,.,.,.,.,0,316,273,4,1934,1711986,5418,11782,1531460,5610,9621,22322,5581,9782,15838395,8189,18754
2018,9,Y61,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,101337,65334,629620,10,1,.,59,123,.,.,.,66832,6255,4240,37759,12320,2242,2987260,478,861,3243826,765,1384,58208530,1542,3168,63916400,5188,12640,13264877,5917,14858,4384,99,2912,495,47,1326,2114,39540,1988,20920,62448,14595,10513,9876,7285,59143,43433,23615,13402,3981,2420,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,445,123963,279,465,5955,241274,41,76,.,.,.,.,.,37,813,611,52,985,7812121,9609,20987,6485216,10614,24069,753029,14481,31323,13432721,13637,30272
2018,9,Y59,R1F,ISLE OF WIGHT NHS TRUST,2546,1520,12274,8,1,.,46,95,.,.,.,1846,68,45,900,871,231,42111,619,1323,32100,713,1323,1017415,1130,2433,2309776,2652,9302,1267836,5488,13710,122,0,2,0,1,119,0,1404,14,306,1724,111,97,52,52,1106,988,999,693,259,186,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,973,49,21,.,.,.,.,.,102,64,26,0,12,317172,4956,13980,366940,14113,13710,.,.,.,65572,5464,14279
2018,9,Y56,RRU,LONDON AMBULANCE SERVICE NHS TRUST,153817,127693,1042310,8,0,.,58,135,.,.,.,97012,9408,6973,55125,19432,1063,3540767,376,628,4710590,676,1181,63232039,1147,2336,61023168,3140,7663,5276990,4964,11297,6621,217,834,6255,192,5378,0,60195,6162,24034,90391,24659,19041,18146,14275,81113,62448,30848,21908,1482,1115,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5354,364213,68,137,.,.,.,.,.,8,649,1217,39,1167,3590904,5533,11657,8933024,7340,14783,328893,8433,16557,10370403,8886,16175
2018,9,Y63,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,44043,30205,153445,5,1,.,20,55,.,.,.,32958,2343,1530,17688,8482,373,875339,374,637,712541,466,819,21502106,1216,2478,38634643,4555,10913,1779628,4771,13313,1723,59,447,3669,134,1083,0,19573,3718,7944,31235,4541,3724,2972,2475,23823,20132,13184,8316,658,385,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,73,32677,448,842,1400,41882,30,58,.,.,.,.,.,0,0,2086,0,165,.,.,.,13913814,6670,13672,.,.,.,1825252,11062,24664
2018,9,Y62,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,129192,100544,1541202,15,1,.,90,143,.,.,.,89571,8005,5774,47386,21617,3346,3805774,475,797,3692128,639,1102,64707314,1366,2912,88561278,4097,9618,18622938,5566,11592,5063,410,2653,5572,313,1687,0,56672,5727,22109,84508,15903,12819,11370,9305,59944,50588,29658,22950,4344,3585,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4632,200695,43,94,.,.,.,.,.,227,1460,927,65,751,8026923,5498,11014,5920105,6386,12648,496757,7642,14809,6864621,9141,19860
2018,9,Y59,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,63463,39577,326572,8,3,.,42,97,.,.,.,44667,2487,1535,20891,14415,968,1079572,434,790,983052,640,1252,20241175,969,1938,43882684,3044,7104,4318161,4461,10033,2573,13,110,320,227,2223,0,24181,2833,15080,42094,4895,3819,3098,2442,28520,23760,20732,16235,1421,1075,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,171,63724,373,612,1973,74893,38,76,.,.,.,.,.,1,1834,1158,0,340,4911275,2678,4750,6128337,5292,9503,.,.,.,2689409,7910,16461
2018,9,Y59,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,77342,63162,943758,15,3,.,87,187,.,.,.,57239,3386,2102,28428,19521,774,1560782,461,853,1312454,624,1150,32836981,1155,2161,100134350,5130,11560,5160838,6668,14781,3257,88,463,654,287,2419,585,34292,498,19192,53982,7572,5668,4750,3618,40379,31648,33531,20582,1391,812,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,303,97787,323,562,2586,135835,53,88,.,.,.,.,.,0,196,1420,0,257,1071446,5467,10882,11159791,7859,16517,.,.,.,3077247,11974,25398
2018,9,Y58,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,101404,77491,312519,4,2,.,12,46,.,.,.,69459,4353,2686,37725,17462,638,1786298,410,761,1726833,643,1185,61110198,1620,3416,75581680,4328,9909,5829039,9136,20979,3803,356,1297,4539,484,1666,22,37564,3244,24848,65656,9771,7671,6098,4835,51736,43814,24980,18772,908,672,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,377,135714,360,606,2614,121767,47,85,.,.,.,.,.,137,960,723,12,930,6202501,6461,13831,5842555,8081,17408,85715,7143,16493,8496783,9136,19594
2018,9,Y60,RYA,WEST MIDLANDS AMBULANCE SERVICE UNIVERSITY NHS FOUNDATION TRUST,106358,77589,298957,4,1,.,21,44,.,.,.,84745,5361,3380,41146,30597,1500,2178318,406,701,1583262,468,845,29552797,718,1309,60416814,1975,4362,4499632,3000,7538,2504,5,15,0,130,2354,1770,48368,3123,30750,82241,10153,7476,6327,4733,52212,43354,54323,31971,3836,1574,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,191,49528,259,470,3467,97789,28,55,.,.,.,.,.,191,0,2165,0,1281,.,.,.,12728574,5879,13856,.,.,.,9517169,7429,17372
2018,9,Y63,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,80231,59172,98095,2,1,.,1,31,.,.,.,63371,5068,3558,36186,11441,1111,2220494,438,748,2292796,644,1160,44115456,1219,2531,33810464,2955,7045,4558589,4103,9663,4007,405,792,3132,405,2405,2308,38482,6066,14816,59364,11644,8733,8149,6206,54773,42847,24468,15671,2271,1424,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3116,105886,34,56,.,.,.,.,.,115,2481,191,49,2722,11391899,4592,10037,834339,4368,9196,263753,5383,12115,24559701,9023,20699
2018,10,Eng,Eng,England,982022,729048,5186248,7,1,.,42,93,.,.,.,699355,55383,37926,372315,176292,13090,23874408,431,750,25487362,672,1251,474677999,1275,2605,638742018,3623,8502,65814545,5028,11565,41067,3670,11585,25721,3368,22444,5274,415522,38774,203992,658288,120960,92687,83045,64746,515118,414770,283700,191580,22043,13980,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1949,596988,306,532,35919,1517375,42,80,.,.,.,.,.,852,8901,11823,270,11886,44627176,5014,10934,79292055,6707,13928,2727662,10102,19883,105614442,8886,19349
2018,10,North East and Yorkshire,Y63,North East and Yorkshire,129587,91283,279827,3,1,.,7,43,.,.,.,101347,7762,5417,56336,21249,1701,3198620,412,708,3031087,560,993,68278635,1212,2526,75529393,3554,8491,7300339,4292,10377,6020,510,1146,7225,616,3748,678,60606,10502,24219,95327,16781,12913,11556,9010,81230,65229,39313,25127,3362,1841,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,86,33975,395,622,4881,138325,28,52,.,.,.,.,.,98,2495,2446,44,3168,10040283,4024,9126,15686564,6413,12592,295309,6712,11037,27407041,8651,19320
2018,10,North West,Y62,North West,143528,110811,1379357,12,1,.,76,132,.,.,.,96074,8606,6218,51063,22461,3206,4143341,481,800,3979508,640,1092,75475704,1478,3163,105719724,4707,11193,18090789,5643,11988,6569,503,3571,5873,371,2124,0,59938,5994,23573,89505,17093,13875,12181,10040,64684,54501,30585,23788,4115,3436,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4720,178341,38,78,.,.,.,.,.,278,1385,993,105,747,8551920,6175,13021,6847218,6895,14548,1014245,9659,17166,6907075,9246,20003
2018,10,Midlands,Y60,Midlands,194124,146980,687275,5,1,.,26,60,.,.,.,148687,11563,7546,76406,44888,1775,5031856,435,762,5798260,768,1658,91834801,1202,2393,116550269,2596,5967,5602716,3156,7517,6977,1843,879,10,1061,3194,1890,87973,5963,47774,141710,21558,16472,14273,11076,97301,81116,73858,46884,4234,1842,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,497,144544,291,545,6644,230259,35,68,.,.,.,.,.,239,375,2821,1,3645,1951640,5204,11189,16265432,5766,12906,9519,9519,9519,29014350,7960,17820
2018,10,East of England,Y61,East of England,104285,66470,489303,7,1,.,47,102,.,.,.,70611,6386,4258,40018,13161,2289,3090355,484,874,3198992,751,1378,60080494,1501,3066,62466013,4746,11327,12560857,5487,13632,4480,98,2949,521,46,1387,2208,41784,2224,22123,66131,14956,10642,9812,7197,61705,45486,25051,14232,4080,2463,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,489,129877,266,449,6038,236804,39,71,.,.,.,.,.,33,894,666,58,1161,7662152,8571,21224,6421110,9641,21888,931161,16055,36742,13363951,11511,26881
2018,10,London,Y56,London,158598,129009,899974,7,0,.,53,119,.,.,.,102991,10379,7801,56699,21463,1548,3804163,367,610,5135940,658,1128,59494481,1049,2108,60975914,2841,6733,6457179,4171,9402,6917,205,966,6266,214,5532,0,63494,6873,25707,96074,27356,21065,20534,16040,83976,64117,34177,24115,2152,1643,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6087,376830,62,123,.,.,.,.,.,9,684,1284,46,1359,3754201,5489,11539,8748427,6813,12831,344485,7489,12556,11808296,8689,15778
2018,10,South East,Y59,South East,147752,105373,1073315,10,3,.,58,131,.,.,.,108004,6133,3831,52996,35187,1905,2685827,438,814,2411612,629,1184,56601283,1068,2065,140983766,4007,9371,10210707,5360,12516,6114,162,742,851,508,4702,472,63107,3639,35144,101890,13081,9841,8210,6282,73651,59587,55610,38312,3174,2063,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,493,159110,323,522,4762,224235,47,79,.,.,.,.,.,23,2154,2874,0,665,6589033,3059,5836,19220023,6688,13656,.,.,.,5779513,8691,18148
2018,10,South West,Y58,South West,104148,79122,377197,5,2,.,19,57,.,.,.,71641,4554,2855,38797,17883,666,1920246,422,761,1931963,677,1251,62912601,1622,3391,76516939,4279,9839,5591958,8396,18556,3990,349,1332,4975,552,1757,26,38620,3579,25452,67651,10135,7879,6479,5101,52571,44734,25106,19122,926,692,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,384,129482,337,616,2787,132581,48,86,.,.,.,.,.,172,914,739,16,1141,6077947,6650,14103,6103281,8259,17201,132943,8309,22635,11334216,9934,21178
2018,10,Y60,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,85337,68170,376485,6,2,.,30,76,.,.,.,60732,6020,3965,34371,12885,198,2753179,457,811,4111554,1037,2413,61411575,1787,3712,53305684,4137,9950,701380,3542,8173,4335,1838,873,10,844,780,2,37211,2647,16539,56397,11168,8806,7658,6092,43786,36770,16952,13417,225,188,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,298,90823,305,559,3188,130476,41,81,.,.,.,.,.,0,375,433,1,2114,1951640,5204,11189,2132506,4925,9425,9519,9519,9519,17037261,8059,17023
2018,10,Y61,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,104285,66470,489303,7,1,.,47,102,.,.,.,70611,6386,4258,40018,13161,2289,3090355,484,874,3198992,751,1378,60080494,1501,3066,62466013,4746,11327,12560857,5487,13632,4480,98,2949,521,46,1387,2208,41784,2224,22123,66131,14956,10642,9812,7197,61705,45486,25051,14232,4080,2463,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,489,129877,266,449,6038,236804,39,71,.,.,.,.,.,33,894,666,58,1161,7662152,8571,21224,6421110,9641,21888,931161,16055,36742,13363951,11511,26881
2018,10,Y59,R1F,ISLE OF WIGHT NHS TRUST,2680,1518,14366,9,1,.,46,113,.,.,.,1727,71,44,799,603,74,54820,772,1580,43772,995,2321,739277,925,2571,2269486,3764,10744,207772,2808,11541,106,2,6,7,4,94,0,1149,29,443,1621,106,95,55,53,933,873,803,627,219,75,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,2967,371,796,46,11234,244,144,.,.,.,.,.,23,40,40,0,18,201333,5033,13164,332134,8303,18424,.,.,.,138621,7701,20771
2018,10,Y56,RRU,LONDON AMBULANCE SERVICE NHS TRUST,158598,129009,899974,7,0,.,53,119,.,.,.,102991,10379,7801,56699,21463,1548,3804163,367,610,5135940,658,1128,59494481,1049,2108,60975914,2841,6733,6457179,4171,9402,6917,205,966,6266,214,5532,0,63494,6873,25707,96074,27356,21065,20534,16040,83976,64117,34177,24115,2152,1643,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6087,376830,62,123,.,.,.,.,.,9,684,1284,46,1359,3754201,5489,11539,8748427,6813,12831,344485,7489,12556,11808296,8689,15778
2018,10,Y63,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,46082,30496,163331,5,1,.,20,48,.,.,.,34909,2497,1647,18200,9578,460,934635,374,634,778795,473,832,22574527,1240,2588,41716936,4355,10241,2025211,4403,11190,1701,34,254,2207,153,1260,0,20128,4040,9040,33208,4824,4009,3163,2675,24235,20677,14337,9406,735,462,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,86,33975,395,622,1464,43122,29,58,.,.,.,.,.,0,0,2281,0,164,.,.,.,15047696,6597,12939,.,.,.,1724260,10514,21800
2018,10,Y62,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,143528,110811,1379357,12,1,.,76,132,.,.,.,96074,8606,6218,51063,22461,3206,4143341,481,800,3979508,640,1092,75475704,1478,3163,105719724,4707,11193,18090789,5643,11988,6569,503,3571,5873,371,2124,0,59938,5994,23573,89505,17093,13875,12181,10040,64684,54501,30585,23788,4115,3436,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4720,178341,38,78,.,.,.,.,.,278,1385,993,105,747,8551920,6175,13021,6847218,6895,14548,1014245,9659,17166,6907075,9246,20003
2018,10,Y59,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,65496,40094,317947,8,3,.,39,96,.,.,.,46769,2604,1588,22292,14620,1050,1074245,413,764,965135,608,1133,21041959,944,1870,40986031,2803,6514,4423234,4213,9466,2649,20,116,305,218,2295,0,25626,3072,15422,44120,5104,3973,3122,2475,30503,25406,20943,16463,1527,1167,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,167,60065,360,557,2084,80104,38,76,.,.,.,.,.,0,1906,1282,0,366,5064801,2657,4729,6520821,5086,9501,.,.,.,2841108,7763,15365
